TCGA-A5-A0G1	TCGA-A5-A0G2	TCGA-A5-A0G5	TCGA-A5-A0G9	TCGA-A5-A0GA	TCGA-A5-A0GB	TCGA-A5-A0GD	TCGA-A5-A0GE	TCGA-A5-A0GG	TCGA-A5-A0GH	TCGA-A5-A0GI	TCGA-A5-A0GJ	TCGA-A5-A0GM	TCGA-A5-A0GN	TCGA-A5-A0GP	TCGA-A5-A0GQ	TCGA-A5-A0GR	TCGA-A5-A0GU	TCGA-A5-A0GV	TCGA-A5-A0GW	TCGA-A5-A0GX	TCGA-A5-A0R6	TCGA-A5-A0R7	TCGA-A5-A0R8	TCGA-A5-A0R9	TCGA-A5-A0RA	TCGA-A5-A0VP	TCGA-A5-A0VQ	TCGA-A5-A1OF	TCGA-A5-A1OG	TCGA-A5-A1OJ	TCGA-A5-A1OK	TCGA-AJ-A23M	TCGA-AJ-A23O	TCGA-AP-A051	TCGA-AP-A052	TCGA-AP-A053	TCGA-AP-A054	TCGA-AP-A056	TCGA-AP-A059	TCGA-AP-A05A	TCGA-AP-A05D	TCGA-AP-A05H	TCGA-AP-A05J	TCGA-AP-A05N	TCGA-AP-A05O	TCGA-AP-A05P	TCGA-AP-A0L8	TCGA-AP-A0L9	TCGA-AP-A0LD	TCGA-AP-A0LE	TCGA-AP-A0LF	TCGA-AP-A0LG	TCGA-AP-A0LH	TCGA-AP-A0LI	TCGA-AP-A0LJ	TCGA-AP-A0LL	TCGA-AP-A0LM	TCGA-AP-A0LN	TCGA-AP-A0LO	TCGA-AP-A0LP	TCGA-AP-A0LS	TCGA-AP-A0LT	TCGA-AP-A0LV	TCGA-AP-A1DH	TCGA-AP-A1DK	TCGA-AP-A1DM	TCGA-AP-A1DO	TCGA-AP-A1DP	TCGA-AP-A1DQ	TCGA-AP-A1DR	TCGA-AP-A1DV	TCGA-AP-A1E0	TCGA-AP-A1E1	TCGA-AP-A1E3	TCGA-AP-A1E4	TCGA-AW-A1PO	TCGA-AX-A05S	TCGA-AX-A05T	TCGA-AX-A05U	TCGA-AX-A05W	TCGA-AX-A05Y	TCGA-AX-A05Z	TCGA-AX-A060	TCGA-AX-A062	TCGA-AX-A063	TCGA-AX-A064	TCGA-AX-A06B	TCGA-AX-A06D	TCGA-AX-A06F	TCGA-AX-A06H	TCGA-AX-A06J	TCGA-AX-A06L	TCGA-AX-A0IS	TCGA-AX-A0IU	TCGA-AX-A0IW	TCGA-AX-A0IZ	TCGA-AX-A0J0	TCGA-AX-A0J1	TCGA-AX-A1C4	TCGA-AX-A1C5	TCGA-AX-A1C7	TCGA-AX-A1C8	TCGA-AX-A1C9	TCGA-AX-A1CA	TCGA-AX-A1CC	TCGA-AX-A1CE	TCGA-AX-A1CF	TCGA-AX-A1CI	TCGA-AX-A1CJ	TCGA-AX-A1CK	TCGA-AX-A1CN	TCGA-AX-A1CP	TCGA-AX-A1CR	TCGA-AX-A2H5	TCGA-AX-A2H8	TCGA-AX-A2HC	TCGA-AX-A2HD	TCGA-AX-A2HF	TCGA-AX-A2HG	TCGA-AX-A2HH	TCGA-AX-A2HJ	TCGA-AX-A2HK	TCGA-B5-A0JN	TCGA-B5-A0JR	TCGA-B5-A0JS	TCGA-B5-A0JT	TCGA-B5-A0JV	TCGA-B5-A0JX	TCGA-B5-A0JY	TCGA-B5-A0JZ	TCGA-B5-A0K0	TCGA-B5-A0K1	TCGA-B5-A0K2	TCGA-B5-A0K3	TCGA-B5-A0K4	TCGA-B5-A0K6	TCGA-B5-A0K7	TCGA-B5-A0K8	TCGA-B5-A0K9	TCGA-B5-A11E	TCGA-B5-A11F	TCGA-B5-A11G	TCGA-B5-A11H	TCGA-B5-A11I	TCGA-B5-A11J	TCGA-B5-A11N	TCGA-B5-A11O	TCGA-B5-A11Q	TCGA-B5-A11R	TCGA-B5-A11S	TCGA-B5-A11U	TCGA-B5-A11V	TCGA-B5-A11W	TCGA-B5-A11Y	TCGA-B5-A11Z	TCGA-B5-A121	TCGA-B5-A1MR	TCGA-B5-A1MU	TCGA-B5-A1MV	TCGA-B5-A1MW	TCGA-B5-A1MX	TCGA-B5-A1MY	TCGA-B5-A1MZ	TCGA-B5-A1N2	TCGA-BG-A0LW	TCGA-BG-A0LX	TCGA-BG-A0M0	TCGA-BG-A0M2	TCGA-BG-A0M3	TCGA-BG-A0M4	TCGA-BG-A0M6	TCGA-BG-A0M7	TCGA-BG-A0M8	TCGA-BG-A0M9	TCGA-BG-A0MA	TCGA-BG-A0MC	TCGA-BG-A0MG	TCGA-BG-A0MI	TCGA-BG-A0MO	TCGA-BG-A0MQ	TCGA-BG-A0MS	TCGA-BG-A0MT	TCGA-BG-A0MU	TCGA-BG-A0RY	TCGA-BG-A0VT	TCGA-BG-A0VV	TCGA-BG-A0VW	TCGA-BG-A0VX	TCGA-BG-A0VZ	TCGA-BG-A0W1	TCGA-BG-A0W2	TCGA-BG-A0YU	TCGA-BG-A0YV	TCGA-BG-A186	TCGA-BG-A187	TCGA-BG-A18A	TCGA-BG-A18B	TCGA-BG-A18C	TCGA-BG-A220	TCGA-BG-A221	TCGA-BG-A222	TCGA-BG-A2AD	TCGA-BG-A2AE	TCGA-BK-A0C9	TCGA-BK-A0CA	TCGA-BK-A0CB	TCGA-BK-A0CC	TCGA-BK-A139	TCGA-BK-A13C	TCGA-BK-A26L	TCGA-BS-A0T9	TCGA-BS-A0TA	TCGA-BS-A0TC	TCGA-BS-A0TD	TCGA-BS-A0TE	TCGA-BS-A0TG	TCGA-BS-A0TI	TCGA-BS-A0TJ	TCGA-BS-A0U5	TCGA-BS-A0U7	TCGA-BS-A0U8	TCGA-BS-A0UA	TCGA-BS-A0UF	TCGA-BS-A0UJ	TCGA-BS-A0UL	TCGA-BS-A0UT	TCGA-BS-A0UV	TCGA-BS-A0V4	TCGA-BS-A0V6	TCGA-BS-A0V7	TCGA-BS-A0V8	TCGA-BS-A0VI	TCGA-BS-A0WQ	TCGA-D1-A0ZN	TCGA-D1-A0ZO	TCGA-D1-A0ZP	TCGA-D1-A0ZQ	TCGA-D1-A0ZR	TCGA-D1-A0ZS	TCGA-D1-A0ZU	TCGA-D1-A0ZV	TCGA-D1-A0ZZ	TCGA-D1-A101	TCGA-D1-A102	TCGA-D1-A103	TCGA-D1-A15V	TCGA-D1-A15W	TCGA-D1-A15X	TCGA-D1-A15Z	TCGA-D1-A160	TCGA-D1-A161	TCGA-D1-A163	TCGA-D1-A165	TCGA-D1-A167	TCGA-D1-A168	TCGA-D1-A169	TCGA-D1-A16B	TCGA-D1-A16D	TCGA-D1-A16E	TCGA-D1-A16G	TCGA-D1-A16I	TCGA-D1-A16J	TCGA-D1-A16N	TCGA-D1-A16O	TCGA-D1-A16Q	TCGA-D1-A16R	TCGA-D1-A16S	TCGA-D1-A16V	TCGA-D1-A16X	TCGA-D1-A16Y	TCGA-D1-A174	TCGA-D1-A175	TCGA-D1-A176	TCGA-D1-A177	TCGA-D1-A179	TCGA-D1-A17A	TCGA-D1-A17B	TCGA-D1-A17C	TCGA-D1-A17D	TCGA-D1-A17F	TCGA-D1-A17H	TCGA-D1-A17K	TCGA-D1-A17L	TCGA-D1-A17M	TCGA-D1-A17N	TCGA-D1-A17Q	TCGA-D1-A17R	TCGA-D1-A17S	TCGA-D1-A17T	TCGA-D1-A17U	TCGA-D1-A1NS	TCGA-D1-A1NU	TCGA-D1-A1NW	TCGA-D1-A1NX	TCGA-D1-A1NY	TCGA-D1-A1NZ	TCGA-D1-A1O0	TCGA-D1-A1O5	TCGA-D1-A1O7	TCGA-D1-A1O8	TCGA-D1-A2G0	TCGA-D1-A2G5	TCGA-D1-A2G6	TCGA-DI-A0WH	TCGA-DI-A1BU	TCGA-DI-A1BY	TCGA-DI-A1C3	TCGA-DI-A1NN	TCGA-DI-A1NO	TCGA-E6-A1LX	TCGA-E6-A1LZ	TCGA-E6-A1M0	TCGA-EC-A1NJ	TCGA-EC-A1QX	TCGA-EC-A24G	TCGA-EO-A1Y5	TCGA-EO-A1Y7	TCGA-EO-A1Y8	TCGA-EY-A1G7	TCGA-EY-A1G8	TCGA-EY-A1GC	TCGA-EY-A1GD	TCGA-EY-A1GE	TCGA-EY-A1GF	TCGA-EY-A1GH	TCGA-EY-A1GI	TCGA-EY-A1GK	TCGA-EY-A1GL	TCGA-EY-A1GM	TCGA-EY-A1GO	TCGA-EY-A1GP	TCGA-EY-A1GQ	TCGA-EY-A1GR	TCGA-EY-A1GS	TCGA-EY-A1GT	TCGA-EY-A1GU	TCGA-EY-A1GV	TCGA-EY-A1GW	TCGA-EY-A1GX	TCGA-EY-A1H0	TCGA-EY-A210	TCGA-EY-A212	TCGA-EY-A214	TCGA-EY-A215	TCGA-FI-A2CX	TCGA-FI-A2CY	TCGA-FI-A2D0	TCGA-FI-A2D2	TCGA-FI-A2D4	TCGA-FI-A2D5	TCGA-FI-A2D6	TCGA-FI-A2EU	TCGA-FI-A2EW	TCGA-FI-A2EX	TCGA-FI-A2F4	TCGA-FI-A2F8	TCGA-FI-A2F9
6p	0	-0.368	0.405	0	0	0	0	0	0	0	0	0	0	-0.512	0	0	0	0	0	0	0	-0.214	0	0	0	0	0	0	0	0.815	0	0	0.271	0	0	0	0	0	0	0	0	-0.312	0	-0.953	0	0	0	0.452	-0.481	0	0	0	0	0	0.159	0	0	0	0	0.462	0	0	0	0	0	0	0	0	0	0.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132	0	0	0	3.657	0	0	0	0	0	-0.508	0	0	0.255	0.117	0	0.706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173	0	0.654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206	0	0	0	0.304	0	0	0	0	0.694	0.442	0	0	0	0	0	0	0	0.729	0	0	0	0	0	2.114	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.164	0	0	0	0	0	0.68	0	0	0.421	-0.145	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.805	0	0	0	0	0	0	0	0.787	0	0	0	0.113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.805	0	0	0	0	0	0.242	0.238	0	0	0	0	0	0	0	0	0	0	0	0.335	0	0	0	0	0	0	0	0	0.381	0	0.76	0.586	0	0	0	0	0	0	0	0	0	0.377	0	0.153	0	0.103	-0.262	0	0	0	0	0.425	0	0	0	0.167
6q	0	-0.368	0.405	0	0	0	0	0	0	0	0	0	0	-0.512	0	0	0	0	0	0	0	-0.214	0	0	0	0	0	0	0	0	0	0	0.164	0	0	0	0	0	0	0	0	-0.312	0	-0.953	0	0	0	0.452	-0.481	0	0	0	0	0	0.159	0	0	0	0	0.462	0	0	0	0	0	0	0	0	0	0.34	0	0	0	0	0	0	-0.865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132	0	0	0	3.657	0	0	0	0	0	-0.812	0	0	0	0.117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206	0	0	0	0.304	0	0	0	0	0.694	0	0	0	0	0	0	0	0	0.523	0	0	0	-0.394	0	2.114	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.164	0	0	0	0	0	0.68	0	0	0.421	0.005	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.805	0	0	0	0	0	-0.109	0	0.787	0	0	0	0.113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.805	0	0	0	0	0	0.242	0	0	0.413	0	0	0	0	0	0	0	0	0	0.335	0	0	0	0	0	0	0	0	0.381	0	0.76	0.586	0.96	0	0	0	0	0	0	0	0	0.377	0	0.153	0	0.103	-0.262	0	0	0	0	0.425	0	0	0.107	0
7p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.928	0	0	-0.3	0	0	0	0	0	0	0	0	0	0	-0.178	0	0	0	0	-0.987	0	0	0	0.179	0	0	0	0	0	-0.646	0.579	0	0	0	0	0	0.177	0	0	0	0	0.481	0	0	0	0	0	0	0	0	0	-0.415	0	0	0	0	0	0	0	0	0	0	0.728	0	0	0	0	0	0	-0.676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.394	0	0	0	0	0	0	0	0	-0.269	0	0	0	0	0	0	0	-0.65	-0.418	-0.393	0.775	0	0.613	0	0	0	0	0.769	0	0	0	0.794	0	0	-0.34	0	0	0	0	0	-0.557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.583	0	0	0.443	0	0	0	0	0	0	0.934	0	0	0	0	0	0	0	0	0	0	0	0.737	0	0	1.469	0.236	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0.175	0.688	0	0	-0.328	0.238	0	0.472	0	0	0	0	1.183	0	0.419	0	0	0	0	0	0	0	0	0.762	0	0	0	0	0.386	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.78	0	0	0	0	0	0	0	0	0	0.177	0	0	0	0	0	0	0	0	0.786	0	0	0	0	0	0	0	0.205	0	-0.219	0	0	0	0	0	0.52	0	0	0	0	-0.429	0	0	-0.42	0	-0.641	0	0	0.377	0	-0.118	0.935	0	-0.448	0	0	0	0.717	0	0	0.674	0	0.381	0	0	0	0	0	0	0	0.162	1.016	0	0	-0.156	0	0	0	0	0	0.127	0	0	0	0.461	-0.543	0	0	-0.25	-0.375
7q	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.928	0	0	-0.3	0	0	0	0	0	0	0	0	0	0	-0.178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.416	0.579	0	0	0	0	0	0.177	0	0	0	0	0.481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.394	0	0	0	0	0	0	0	0	-0.269	0	0	0	0	0	0	0	0.568	-0.418	-0.543	0.775	0	0.613	0	0	0	0	0.769	0	0	0	0.794	0	0	-0.34	0	0	0	0	0	-0.557	0	0	0	0	0	0	0	0	0	0	0	0	0	0.213	0.583	0	0	0.443	0	0	0	0	0	0	0.934	0	-0.491	0	0	0	0	0	0	0	0	0	0.737	0	0	1.469	0.236	0	0	0	0	0	0	0	-0.388	0	0	0	0	0	0	0	0	0	0.175	0.688	0	0	-0.328	-0.201	0	-0.212	0	0	0	0	1.183	0	0.419	0	0	0	0	0	0	0	0	0.762	0	0	0	0	0	0	0	0.65	0	0	0	0	0	0	0	0.25	0	0	0	-0.732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.271	0	0	0	0	0	0	0	0	0	0	0.177	0	0	0	0	0	0	0	0	0.786	0	0	0	0	0	0	0	0.205	0	-0.345	0	0	0	0	0	0.52	0	0	0	0	-0.112	0	0	-0.42	0	0.597	0	0	0	0	0	0.935	0	-0.448	0	0	0	0.717	0	0	0.674	0	0.381	0	0	0	0	0	0	0	0.162	1.016	0	0	-0.156	0	0	0	0	0	0.127	0	0	0	-0.736	-0.543	0	0	-0.25	-0.375
8p	0	0	0.397	0	0	0	0	0.584	0	0	0	0	0	0	0	0	0	0	0	0.544	0	0	0.721	0	0	0	0	0	0	0.551	0.117	0	-0.677	0	0	0	0	0	0	0	0	-0.303	-1.293	-0.92	0	0	0	-0.645	0.124	0.454	0	-0.272	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0.481	0	-0.866	0	0	0.103	0	0	0	-0.901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.439	0	0	0	0	0	0	-0.607	0	0.391	-0.143	0	0	0.262	0	0.86	-0.794	-0.582	0	-0.863	0	0.946	0	-0.86	0	0	0	0	-0.585	0	0	0.602	0	0	0	0	0	0	0	0	0.792	0	0	-0.656	0	1.336	0	0	0	-0.592	0	0	0	0.775	0.695	0.74	0	0.744	0	0	0	0	0.014	0	0	1.337	0	-1.102	0	-0.934	0	0	1.706	0.669	0	0.686	-0.47	0	-0.251	0.827	0.78	0	0	0	0	0.846	0	-0.849	0	0	0	0	0	0	0	0	0	-0.202	0	0	0	0	0	0.936	0	0.373	0	0	-0.704	1.376	0	0.36	0.133	0.478	0	-0.574	0.415	0	0	0	1.184	0.67	0	0	0	0	0	0	0	0	0	0	0.675	0	0	0	0	0.15	0	0	0	-0.141	0	0	0	0.747	0	-1.257	0	0.64	0	1.4	0	0	0	0	0	0	0.931	0	0.811	0.118	0	0	0	-0.498	0	0	0.812	0	0	0.128	0.158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.767	0	0	0	0	-0.11	-0.301	0	0	0	0.951	0	0	0	0.685	0.818	0.532	0	0	0	0.278	-0.638	0	0	0	0.748	0	0	0	0.916	-0.438	1.824	0	0.786	0.196	0	0	0	0	0	0	0	0.599	0.372	0	0.764	0.625	-0.587	0	0	-0.059	0	1.006	0.874	0	-0.121	-0.408	0	0	0	0	-0.161	1.564	0	0	-0.817	-0.596	-0.876	0	0	0.38
8q	0	0	0.397	0	0	0	0	0.584	0	0	0	1.403	0	0	0	0	0	0	0	0.544	0	0	0.721	0	0	0	0	0	0	0.935	0.117	0	-0.677	0	0	0	0	0	0	0	0.796	-0.303	0.604	0	0	0	0	2.462	0.124	0.454	0	0.114	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0.481	0	0	0	0	0.103	0	0	0	1.458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.443	0	0	0	0	0	0	0.661	0	0.391	0.061	0	0	0.262	0	0.86	0	0	0	-0.863	0	0.946	0	-0.86	0	0	0	0	-0.585	0	0	0.602	0	0	0	0	0	0	0	0	0.792	0	0	0	0	1.336	0	0	0.579	0	0	0	0	0.775	0.695	0.74	0	0.744	0	0	0	0	0.311	0	0	1.337	0	0	0	0	0	0	1.706	0.669	0	0.686	1.048	0	0.01	0.827	0.78	0	0	0	0	0	0	0.737	0	0	0	0	0	0	0	0	0	-0.202	0	0	0	0	0	0.2	0	0.373	0	0	0.167	1.376	0	0.36	1.472	0.849	0	-0.24	0.415	0	0	0	1.184	0.67	0	0	0	0	0	0	0	0	0	0	0.675	0	0	0	0	0.15	0	0	0	0.601	0	0	0	0.747	0	0.789	0	0.64	0	2.23	0	0	0	0	0	0	0.931	0	0.811	0.327	0	0	0	0	0	0	0.812	0	0	0.128	0.158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.767	0	0	0	0	0.733	0	0	0	0	0.951	0	0	0	0.685	0.818	0.532	0	0	0	0.278	-0.474	0	0	0.36	0.748	0	0	0	0.916	1.311	1.824	0	0.786	0.196	0	0	0	0	0	0	0	0.599	0.372	0	0.764	0.625	0	0	0	0.243	0	1.006	0.874	0	0	0	0	0	0	0	-0.161	1.564	0	0	-0.155	0	0	0	0	0.38
9p	0	-0.402	0	0	0	0	0	0	-0.365	0	0	0	0	0	0	0	-0.47	0	0	0	0	-0.608	-0.123	0	0	0	-0.817	0	0	0.269	0	0	-0.657	0	0	-0.136	-0.953	0	0	0	0	-0.704	-0.497	0	0	0	0	-0.612	-0.091	0	0	0	0	0	-0.467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.409	0	0	0	0	0	0	-0.833	0	0	0	0	0	0.552	0	0	0	0	0.011	0	0	0	0	0	0	0	-0.34	0	0	0	0	0	-0.861	-0.603	0	0	0	0	-0.67	0	0	0	0	-0.586	-0.489	0	0	0	0	0	0	0	0	0.741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.348	0	0	0	0	0.607	0.133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.249	0	0	0	0	0	0	0	0	-0.497	0	-0.444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.364	0	0	0	0	-0.681	0	0	0	0	0	0	0	0	-0.493	-0.494	0	-0.549	0	0	0	0	0	0	-0.709	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.429	0	0	0	0	0	0	0	0	0	0	-0.792	0	0	0	-0.839	0	0	0	0	0	0	0	0	0	-0.67	0	0	0	0	0	0	-0.793	0	0	0	-0.708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.766	0.303	0	0	0	-0.799	0	0	0	0	0	0	0	0	0	0	-0.213	0	0	0	0.518	0	0	0	0	-0.905	0.31	0	0	-0.252	0	0	0	0	0	0	0	0	-0.12	0	0	0	0.447	0	0	-0.286	1.081	0	0	0	-0.772	-0.384	0	0	0	0	-0.267	0	0	0	0	0	-0.355	0	-0.329	0
9q	0	0	0	0	0	0	0	0	-0.365	0	0	0	0	0	0	0	-0.47	0	0	0	0	-0.608	-0.123	0	0	0	-0.817	0	0	0.269	0	0	-0.657	0	0	-0.136	-0.953	0	0	0	0	-0.704	-0.497	0	0	0	0	-0.612	-0.495	0	0	0	0	0	-0.467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.833	0	0	0	0	0	0	0	0	0	0	-0.643	0	0	0	0	0	0	0	-0.168	0	0	0	0	0	-0.861	0	0	0	0	0	-0.67	0	0	0	0	-0.586	-0.613	0	-0.685	0	0	-0.857	0	0	0	0	-0.571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.244	0	0	0	0	0.007	-0.129	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.472	0	0	0	-0.496	0	0	0	0	0	0	0	0	-0.497	0	-0.444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.836	0	0	0	0	-0.681	0	-0.263	0	0	0	0	0	0	-0.493	-0.494	0	-0.549	0	0	0	0	0	0	-0.709	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.429	0	0	0	0	0	-0.689	0	0	0	0	-0.792	0	0	0	-0.839	0	0	0	0	0	0	0	0	0	-0.67	0	0	0	0	0	0	-0.793	0	0	0	-0.708	-0.764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.766	0.303	0	0	0	-0.799	0	0	0	0	0	0	0	0	0	0	-0.213	0	0	-0.387	0.518	0	0	0	0	-0.905	-0.054	0	0	-0.398	0	0	0	0	0	0	0	0	-0.12	0	0	0	0.447	0	0	-0.286	0.282	0	0	-0.836	-0.772	-0.384	0	0	-0.799	0	-0.267	0	0	0	0	0	-0.355	0	-0.329	0
10p	0	0	1.246	0	0	0	0	0.566	0	0	0	0	0	0	0	0	0	0.768	0.95	0	0	0	0	0	0.769	0	0	0	0	0.219	0.41	0	0	0.597	0	-0.397	0	0	0	0	0	0	-0.521	0	0	0	0.469	0	-0.379	0.788	0	0.476	0	0	-0.13	0.626	0	0	0.875	0	0	0	0	0	0	0	0	0	0	0.441	0	0	0	0	0.312	0.797	0	0.624	0.814	0.913	0.731	0	0	0	0	0	0	-0.661	0.854	0	0	0.682	0	0	0.645	0.515	0	0	0	0.843	0	0	0	0	0.124	0.119	0	0	0	0.654	0	0	-0.203	-0.235	0	0	0	0	0	0	0.988	0	-0.745	0	0	0	0.608	0	0.581	0	0	0	0	0	0	0	0	0	0	0	0	0.702	0	0	0	0	0	0	0	0.702	0.704	0	0	0	0	0	0	0	0	0.572	0	0	0	0	0	0	0.72	0	0.663	0.936	0.671	0.896	0	-0.281	0	0	0	0.759	0	0	0	1.369	0	0	0.801	0.241	0	0	0	0	0	0.778	0	0	0	0.866	0.566	0	-0.198	0	0.19	0	0	0	0.689	0	0	0	0.321	0	-0.431	0.255	0	0	0	0	0	0	0	0	0.655	0	0	0	0	0	0	0.201	0	0	0.291	0	0	0.858	0	0	0	0.66	0	0	0.736	0	0	0	0.621	0	0.151	0	0	0.811	0	0.812	0	0.67	0	0	0.109	0	0	0	0	-1.079	0	0	0	0	0	0.143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.703	0	0	0	0	0.635	0	0	0.119	0	0	0	0	0.802	0	0	0	0	0	-0.456	0	0	-0.413	0.99	0	0	0	0	0.88	0	0.927	0	0.298	0	0	0	0.711	0	0.75	0	0	0.404	0	0.76	-0.607	-0.023	0.751	0	0	0.205	0.985	0.85	0.852	0	1.218	0	0	0	0	-0.513	0.804	0	0	0	-0.5	0.361	0	0	0
10q	0	0	0	0	0	0	0	0.566	0	0	0	0	0	0	0	0	0	0.768	0.95	0	0	0	0	0	0.769	0	0	0	0	0.219	0.41	0	0	0.597	0	0	0	0	0	0	0	0	-0.521	0	0	0	0.469	0	-0.379	0.788	0	0.339	0	0	-0.13	0.626	0	0	0.875	0	0	0	0	0	0	0	0	0	0	0.441	0	0	0	0	0.312	0.797	0	0.624	0.814	0.913	0.731	0	0	0	0	0	0	-0.661	0.854	0	0	0.682	0	0	0.645	0.229	0	0	0	0.843	0	0	0	0	0.124	0.119	0	0	0	0.654	0	0	0	-0.235	0	0	0	0	0	0	0.988	0	-1.293	0	0	0	0.608	0	0.581	0	0	0	0	0	0	0	0	0	0	0	0	0.702	0	0	0	0	0	0	0	0.702	0.704	0	0	0	0	0	0	0	0	0.572	0	0	0	0	0	0	0.72	0	0.663	0.936	0	0.441	0	-0.281	0	0	0	0.759	0	0	0	1.369	0	0	0.801	0.241	0	0	0	0	0	0.778	0	0	0	0.866	0.566	0	-0.198	0	0	0	0	0	0.689	0	0	0.469	0	0	-0.154	0.255	0	0	0	0	0	0.892	0	0	0.655	0	0	0	0	0	0	0.201	0	0	0.291	0	0	0.858	0	0	0	0.66	0	0	0.736	0	0	0	0	0	0.151	0	0	0.811	0	0.812	0	0.67	0	0	0.109	0	0	0	0	-1.079	-0.661	0	0	0	0	0.143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.785	0	0	0	0	0	0	0.703	0	0	0	0	0.635	0	0	0.119	0	0	0	0	0.802	0	0	0	0	0	-0.456	0	0	0	0.99	0	0	0	0	0.88	0	0.927	0	0.298	0	0	0	0.711	0	0	0	0	0.404	0	0.76	-0.607	0.563	0.751	0	0	0.205	0.985	0.85	0.852	0	0.16	0	0	0	0	-0.704	0.804	0	0	-0.767	0	0.361	0	0	0
